id,c1_high,c2_high,c3_high,c4_high,water_diff
428,99.9,99.9,9.9,14.9,-3.55083
429,3.3,5.5,15,19.6,-4.82321
430,99.9,99.9,5.9,10.4,18.62279
431,99.9,99.9,5.9,10.4,18.62279
432,99.9,0.9,10.7,15.4,-10.86619
433,99.9,0.9,10.7,15.4,-10.86619
434,99.9,99.9,9.9,14.9,-0.75671
435,99.9,99.9,9.9,14.9,-0.75671
436,99.9,99.9,99.9,99.9,94.14827
437,3,6.6,10.2,14.8,1.30434
438,99.9,99.9,0.5,5.4,40.45325
439,99.9,99.9,1.2,6,23.68881
440,99.9,99.9,4.3,9.1,51.41293
441,99.9,99.9,4.3,9.1,51.41293
442,5.9,9.4,13.1,17.6,-6.89357
443,99.9,99.9,1.2,6,35.80842
444,99.9,99.9,1.2,6,35.80842
445,99.9,99.9,1.2,6,35.80842
446,99.9,99.9,1.2,6,35.80842
447,99.9,99.9,7.9,12.6,8.06603
448,99.9,0.9,10.7,15.4,8.00397
449,99.9,0.9,10.7,15.4,8.00397
450,2.3,4.1,13.7,18.2,-0.11341
451,99.9,0.5,9.6,13.9,10.52145
452,99.9,0.5,9.6,13.9,10.52145
453,99.9,99.9,9.9,14.9,2.46253
454,3.4,5.8,16,20.2,-14.5902
455,99.9,99.9,99.9,99.9,118.45434
456,3.9,6.5,16.7,21.6,4.60853
457,3.9,6.5,16.7,21.6,4.60853
458,3.9,6.5,16.7,21.6,4.60853
459,99.9,0,10,14.6,-6.75817
460,3.3,5.5,15,19.6,-9.97864
461,99.9,99.9,99.9,3,59.51296
462,99.9,99.9,99.9,3,59.51296
463,99.9,99.9,99.9,3,59.51296
464,99.9,0.9,10.7,15.4,-15.99589
465,99.9,0.9,10.7,15.4,-15.99589
466,99.9,99.9,99.9,99.9,104.31808
467,99.9,99.9,99.9,99.9,104.31808
468,99.9,0.9,10.7,15.4,8.11012
469,99.9,0.9,10.7,15.4,8.11012
470,99.9,99.9,99.9,99.9,88.91283
471,99.9,99.9,99.9,99.9,88.91283
472,3.4,5.8,16,20.2,-17.98609
473,99.9,99.9,99.9,99.9,119.37078
474,99.9,99.9,99.9,99.9,119.37078
475,99.9,99.9,99.9,99.9,119.37078
476,6.1,10,13.1,17.5,0.79763
477,6.1,10,13.1,17.5,0.79763
478,6.1,10,13.1,17.5,0.79763
479,5.9,9.4,13.1,17.6,-11.06231
480,5.9,9.4,13.1,17.6,-11.06231
481,5.9,9.4,13.1,17.6,-11.06231
482,5.9,9.4,13.1,17.6,-11.06231
483,2.6,4.5,12.8,16.9,-20.47006
484,99.9,99.9,4.7,9.7,20.60905
485,99.9,99.9,4.7,9.7,20.60905
486,3.3,10.7,15.5,20.4,-16.86034
487,3.3,10.7,15.5,20.4,-16.86034
488,99.9,99.9,99.9,99.9,40.77082
489,99.9,99.9,1.2,6,36.58224
490,99.9,99.9,1.2,6,36.58224
491,99.9,5.9,11.4,16.2,6.4165
492,99.9,5.9,11.4,16.2,6.4165
493,99.9,99.9,99.9,3.4,51.79861
494,99.9,99.9,4.3,9.1,-3.9878
495,99.9,99.9,4.3,9.1,-3.9878
496,99.9,99.9,4.3,9.1,-3.9878
497,99.9,99.9,9.9,14.9,-11.22678
498,99.9,99.9,9.9,14.9,-11.22678
499,99.9,99.9,9.9,14.9,-11.22678
500,99.9,99.9,0.2,4.8,24.8313
501,99.9,99.9,0.2,4.8,24.8313
502,99.9,99.9,0.2,4.8,24.8313
503,99.9,99.9,9.9,14.9,3.67591
504,99.9,99.9,9.9,14.9,3.67591
505,99.9,99.9,9.9,14.9,3.67591
506,6.4,9.7,13.4,17.9,6.86058
507,6.4,9.7,13.4,17.9,6.86058
508,6.4,9.7,13.4,17.9,6.86058
509,99.9,99.9,4.5,9.2,6.86513
510,99.9,99.9,0.5,5.4,27.3761
511,99.9,99.9,0.5,5.4,27.3761
512,99.9,99.9,0.5,5.4,27.3761
513,99.9,99.9,0.5,5.4,27.3761
514,1.6,4.1,13.2,17.6,-7.4344
515,1.6,4.1,13.2,17.6,-7.4344
516,1.6,4.1,13.2,17.6,-7.4344
517,1.6,4.1,13.2,17.6,-7.4344
518,1.6,4.1,13.2,17.6,-7.4344
